gz_id;categoria;label;nombre;nombrehoy;santo;variantes;partido_generico;provincia_generica;region;fuente;id_largo
7000341;Villa;Coelemu;Dulce Nombre de Jesus de Coelemu;;;"Quipolemu; Quilpolemo;";Itata;Concepcion;CHL;goyeneche;Coelemu_Itata_CHL_Villa
7000342;Poblacion;Pumande;Pumande;;;;Itata;Concepcion;CHL;campos-fernando;Pumande_Itata_CHL_Poblacion
7000343;Poblacion;Ranquilcahue;Ranquilcahue;;;;Itata;Concepcion;CHL;campos-fernando;Ranquilcahue_Itata_CHL_Poblacion
7000344;Poblacion;Pimaguil;Pimaguil;;;;Itata;Concepcion;CHL;campos-fernando;Pimaguil_Itata_CHL_Poblacion
7000345;Poblacion;Maipu;Maipu;;;;Itata;Concepcion;CHL;campos-fernando;Maipu_Itata_CHL_Poblacion
7000346;Poblacion;Puaguin;Puaguin;;;;Itata;Concepcion;CHL;campos-fernando;Puaguin_Itata_CHL_Poblacion
7000347;Poblacion;Mela;Mela;;;;Itata;Concepcion;CHL;campos-fernando;Mela_Itata_CHL_Poblacion
7000348;Poblacion;Colmuyago;Colmuyago;Colmuyao;;;Itata;Concepcion;CHL;campos-fernando;Colmuyago_Itata_CHL_Poblacion
7000349;Poblacion;Coquicura;Coquicura;;;;Itata;Concepcion;CHL;campos-fernando;Coquicura_Itata_CHL_Poblacion
7000350;Poblacion;Nonche;Nonche;;;;Itata;Concepcion;CHL;campos-fernando;Nonche_Itata_CHL_Poblacion
7000351;Poblacion;Maytenco;Maytenco;;;;Itata;Concepcion;CHL;campos-fernando;Maytenco_Itata_CHL_Poblacion
7000352;Poblacion;Puralegui;Puralegui;;;;Itata;Concepcion;CHL;campos-fernando;Puralegui_Itata_CHL_Poblacion
7000354;Rural;Estancia de Conuco;Estancia de Conuco;;;;Itata;Concepcion;CHL;campos-fernando;Estancia de Conuco_Itata_CHL_Rural
7000355;Poblacion;Conuco;Conuco;;;"Conuto;";Concepcion;Concepcion;CHL;bueno;Conuco_Concepcion_CHL_Poblacion
7000356;Poblacion;Tome;Tome;;;;Puchacai;Concepcion;CHL;goyeneche;Tome_Puchacai_CHL_Poblacion
7000357;Villa;Hualqui;San Juan Bautista de Hualqui;;;;Puchacai;Concepcion;CHL;bueno;Hualqui_Puchacai_CHL_Villa
7000358;Poblacion;Ranquel;Ranquel;Ranquil;;"Ranquil;";Puchacai;Concepcion;CHL;goyeneche;Ranquel_Puchacai_CHL_Poblacion
7000359;Poblacion;La Florida;San Antonio de La Florida;;;;Puchacai;Concepcion;CHL;bueno;La Florida_Puchacai_CHL_Poblacion
7000360;Pueblo;Noguen;Noguen;;;;Concepcion;Concepcion;CHL;goyeneche;Noguen_Concepcion_CHL_Pueblo
7000361;Pueblo;Dichato;Dichato;;;"Dichaco;";Puchacai;Concepcion;CHL;goyeneche;Dichato_Puchacai_CHL_Pueblo
7000362;Pueblo;La Mocha;La Mocha;;;;Puchacai;Concepcion;CHL;bueno;La Mocha_Puchacai_CHL_Pueblo
7000363;Villa;Rere;San Luis Gonzaga;;;"Buena Esperanza de Rere; Villa de la Buena Esperanza; Estancia del Rey;";Rere;Concepcion;CHL;goyeneche;Rere_Rere_CHL_Villa
7000364;Villa;Santa Juana;Santa Juana;;;;Arauco;Concepcion;CHL;goyeneche;Santa Juana_Arauco_CHL_Villa
7000365;Pueblo;San Cristobal;San Cristobal;;;;Rere;Concepcion;CHL;goyeneche;San Cristobal_Rere_CHL_Pueblo
7000366;Fuerte;Talcamavida;San Rafael Talcamavida;;San Rafael;;Rere;Concepcion;CHL;goyeneche;Talcamavida_Rere_CHL_Fuerte
7000367;Fuerte;Yumbel;Yumbel;;;"Aconuco; San Carlos de Austria de Yumbel";Rere;Concepcion;CHL;bueno;Yumbel_Rere_CHL_Fuerte
7000368;Fuerte;Tucapel;Tucapel;;;;Rere;Concepcion;CHL;goyeneche;Tucapel_Rere_CHL_Fuerte
7000369;Pueblo;Santa Fe;Santa Fe;;;;Laja;Concepcion;CHL;bueno;Santa Fe_Laja_CHL_Pueblo
7000370;Villa;Los Angeles;Los Angeles;;;;Laja;Concepcion;CHL;goyeneche;Los Angeles_Laja_CHL_Villa
7000371;Fuerte;Villacura;Villacura;Las Tiendas de Villucura;;;Laja;Concepcion;CHL;goyeneche;Villacura_Laja_CHL_Fuerte
7000372;Villa;Santa Barbara;Santa Barbara;;;;Laja;Concepcion;CHL;bueno;Santa Barbara_Laja_CHL_Villa
